region,confirmed,deaths,recovered
BARMM,581,11,455
CAR,764,8,370
CARAGA,438,4,297
NCR,111155,1430,74572
REPATRIATE,8960,15,6586
Region I: Ilocos Region,1033,26,609
Region II: Cagayan Valley,707,3,483
Region III: Central Luzon,7427,81,3850
Region IV-A: CALABARZON,28864,253,17201
Region IV-B: MIMAROPA,643,7,396
Region IX: Zamboanga Peninsula,1395,37,889
Region V: Bicol Region,1411,22,773
Region VI: Western Visayas,4196,48,1865
Region VII: Central Visayas,19235,1006,16256
Region VIII: Eastern Visayas,2287,8,1302
Region X: Northern Mindanao,1314,16,766
Region XI: Davao Region,2028,56,1480
Region XII: SOCCSKSARGEN,578,4,429
