region,confirmed,deaths,recovered
BARMM,293,4,55
CAR,164,3,96
CARAGA,179,1,34
MIMAROPA,204,4,96
NCR,36826,967,12998
REPATRIATE,2449,2,1098
Region I: Ilocos Region,231,14,76
Region II: Cagayan Valley,216,1,79
Region III: Central Luzon,1746,51,704
Region IV-A: CALABARZON,5574,158,1954
Region IX: Zamboanga Peninsula,535,12,209
Region V: Bicol Region,347,7,96
Region VI: Western Visayas,832,12,275
Region VII: Central Visayas,11653,536,3190
Region VIII: Eastern Visayas,696,2,583
Region X: Northern Mindanao,517,11,74
Region XI: Davao Region,975,43,477
Region XII: SOCCSKSARGEN,210,2,59
