region,province,confirmed,deaths,recovered
BARMM,BASILAN,114,0,78
BARMM,LANAO DEL SUR,189,3,115
BARMM,MAGUINDANAO,140,0,104
BARMM,SULU,21,2,11
BARMM,TAWI-TAWI,10,0,1
CAR,ABRA,43,1,14
CAR,APAYAO,24,0,17
CAR,BENGUET,266,3,102
CAR,IFUGAO,20,0,7
CAR,KALINGA,37,0,6
CAR,MOUNTAIN PROVINCE,10,0,4
CARAGA,AGUSAN DEL NORTE,120,2,34
CARAGA,AGUSAN DEL SUR,46,0,13
CARAGA,DINAGAT ISLANDS,2,0,0
CARAGA,SURIGAO DEL NORTE,77,0,30
CARAGA,SURIGAO DEL SUR,48,0,13
NCR,NCR,60623,1062,28604
REPATRIATE,ABRA,4,0,2
REPATRIATE,AGUSAN DEL NORTE,54,0,46
REPATRIATE,AGUSAN DEL SUR,17,0,12
REPATRIATE,AKLAN,12,0,7
REPATRIATE,ALBAY,19,0,13
REPATRIATE,ANTIQUE,15,0,11
REPATRIATE,APAYAO,1,0,0
REPATRIATE,AURORA,1,0,1
REPATRIATE,BASILAN,12,0,8
REPATRIATE,BATAAN,46,0,33
REPATRIATE,BATANGAS,124,0,83
REPATRIATE,BENGUET,20,0,9
REPATRIATE,BILIRAN,5,0,3
REPATRIATE,BOHOL,30,0,19
REPATRIATE,BUKIDNON,20,0,11
REPATRIATE,BULACAN,91,0,66
REPATRIATE,CAGAYAN,24,0,18
REPATRIATE,CAMARINES NORTE,3,0,1
REPATRIATE,CAMARINES SUR,23,0,14
REPATRIATE,CAPIZ,33,0,17
REPATRIATE,CATANDUANES,4,0,3
REPATRIATE,CAVITE,148,2,86
REPATRIATE,CEBU,148,1,109
REPATRIATE,CITY OF ISABELA (NOT A PROVINCE),2,0,2
REPATRIATE,COTABATO (NORTH COTABATO),19,0,9
REPATRIATE,COTABATO CITY (NOT A PROVINCE),7,0,6
REPATRIATE,DAVAO DE ORO,23,0,15
REPATRIATE,DAVAO DEL NORTE,52,0,39
